,Fecha_registro,Fecha_contacto,Id,Genero,Casado,Dependientes,Educacion,Trabaja_para_el,Salario,Salario_Pareja,Credito_pedido,Plazo_prestamo,Historial_crediticio,Area_vivienda,Estatus_prestamo,Asesor_asignado
0,02/26/2019 11:00 AM,02/27/2019 12:03 PM,LP002519,Hombre,1,4,1,No,4691.0,0.0,100.0,360.0,1,Semiurbana,1,Dudley
1,02/27/2019 02:52 PM,02/26/2019 07:43 AM,LP001280,Hombre,1,2,0,No,3333.0,2000.0,99.0,360.0,1,Semiurbana,1,Pablo
2,02/27/2019 08:18 AM,02/28/2019 02:27 PM,LP001151,Mujer,0,0,1,No,4000.0,2275.0,144.0,360.0,1,Semiurbana,1,Dudley
3,02/28/2019 10:00 AM,03/01/2019 12:57 PM,LP002036,Hombre,1,0,1,No,2058.0,2134.0,88.0,360.0,1,Urbana,1,Ana
4,02/26/2019 07:40 AM,02/27/2019 04:35 PM,LP002894,Mujer,1,0,1,No,3166.0,0.0,36.0,360.0,1,Semiurbana,1,Regina
5,02/27/2019 08:07 AM,02/28/2019 12:42 PM,LP001404,Mujer,1,0,1,No,3167.0,2283.0,154.0,360.0,1,Semiurbana,1,Pablo
6,02/27/2019 10:19 AM,02/28/2019 05:26 PM,LP001112,Mujer,1,0,1,No,3667.0,1459.0,144.0,360.0,1,Semiurbana,1,Pablo
7,02/28/2019 10:34 AM,03/01/2019 01:43 PM,LP002272,Hombre,1,2,1,No,3276.0,484.0,135.0,360.0,1,Semiurbana,1,Ana
8,02/27/2019 09:14 AM,02/28/2019 03:54 PM,LP002958,Hombre,0,0,1,No,3676.0,4301.0,172.0,360.0,1,Rural,1,Pablo
9,02/27/2019 08:44 AM,02/28/2019 03:40 PM,LP001560,Hombre,1,0,0,No,1863.0,1041.0,98.0,360.0,1,Semiurbana,1,Regina
10,02/26/2019 10:10 AM,02/27/2019 05:20 PM,LP001891,Hombre,1,0,1,No,11146.0,0.0,136.0,360.0,1,Urbana,1,Ana
11,02/28/2019 11:41 AM,03/01/2019 06:53 PM,LP001520,Hombre,1,0,1,No,4860.0,830.0,125.0,360.0,1,Semiurbana,1,Pablo
12,02/27/2019 08:43 AM,02/28/2019 12:02 PM,LP001978,Hombre,0,0,1,No,4000.0,2500.0,140.0,360.0,1,Rural,1,Pablo
13,02/26/2019 11:45 AM,02/27/2019 05:51 PM,LP001243,Hombre,1,0,1,No,3208.0,3066.0,172.0,360.0,1,Urbana,1,Dudley
14,02/27/2019 09:01 AM,02/28/2019 02:19 PM,LP001953,Hombre,1,1,1,No,6875.0,0.0,200.0,360.0,1,Semiurbana,1,Ana
15,02/28/2019 10:14 AM,03/01/2019 03:55 PM,LP002448,Hombre,1,0,1,No,3948.0,1733.0,149.0,360.0,0,Rural,0,
16,02/28/2019 08:55 AM,03/01/2019 06:07 PM,LP001758,Hombre,1,2,1,No,6250.0,1695.0,210.0,360.0,1,Semiurbana,1,Pablo
17,02/28/2019 10:02 AM,03/01/2019 01:11 PM,LP001954,Mujer,1,1,1,No,4666.0,0.0,135.0,360.0,1,Urbana,1,Ana
18,02/27/2019 08:39 AM,02/28/2019 02:47 PM,LP001478,Hombre,0,0,1,No,2718.0,0.0,70.0,360.0,1,Semiurbana,1,Ana
19,02/26/2019 07:21 AM,02/27/2019 04:15 PM,LP001788,Mujer,0,0,1,Si,3463.0,0.0,122.0,360.0,1,Urbana,1,Ana
20,02/26/2019 07:38 AM,02/27/2019 01:47 PM,LP001282,Hombre,1,0,1,No,2500.0,2118.0,104.0,360.0,1,Semiurbana,1,Santiago
21,02/26/2019 08:10 AM,02/27/2019 05:44 PM,LP002424,Hombre,1,0,1,No,7333.0,8333.0,175.0,300.0,1,Rural,1,Regina
22,02/28/2019 10:42 AM,03/01/2019 05:56 PM,LP002684,Mujer,0,0,0,No,3400.0,0.0,95.0,360.0,1,Rural,0,
23,02/26/2019 07:14 AM,02/27/2019 12:06 PM,LP002670,Mujer,1,2,1,No,2031.0,1632.0,113.0,480.0,1,Semiurbana,1,Dudley
24,02/26/2019 10:44 AM,02/27/2019 05:02 PM,LP001844,Hombre,0,0,1,Si,16250.0,0.0,192.0,360.0,0,Urbana,0,
25,02/26/2019 07:03 AM,02/27/2019 12:42 PM,LP002547,Hombre,1,1,1,No,18333.0,0.0,500.0,360.0,1,Urbana,0,
26,02/26/2019 09:43 AM,02/27/2019 02:21 PM,LP002543,Hombre,1,2,1,No,8333.0,0.0,246.0,360.0,1,Semiurbana,1,Pablo
27,02/26/2019 08:27 AM,02/27/2019 03:46 PM,LP001003,Hombre,1,1,1,No,4583.0,1508.0,128.0,360.0,1,Rural,0,
28,02/27/2019 09:44 AM,02/28/2019 02:03 PM,LP002446,Hombre,1,2,0,No,2309.0,1255.0,125.0,360.0,0,Rural,0,
29,02/28/2019 11:37 AM,03/01/2019 04:40 PM,LP002398,Hombre,0,0,1,No,1926.0,1851.0,50.0,360.0,1,Semiurbana,1,Dudley
30,02/26/2019 10:05 AM,02/27/2019 05:18 PM,LP001784,Hombre,1,1,1,No,5500.0,1260.0,170.0,360.0,1,Rural,1,Ana
31,02/28/2019 11:20 AM,03/01/2019 02:40 PM,LP001726,Hombre,1,0,1,No,3727.0,1775.0,131.0,360.0,1,Semiurbana,1,Dudley
32,02/28/2019 08:09 AM,03/01/2019 06:34 PM,LP001647,Hombre,1,0,1,No,9328.0,0.0,188.0,180.0,1,Rural,1,Regina
33,02/26/2019 07:05 AM,02/27/2019 05:59 PM,LP001008,Hombre,0,0,1,No,6000.0,0.0,141.0,360.0,1,Urbana,1,Pablo
34,02/27/2019 07:29 AM,02/28/2019 12:42 PM,LP001572,Hombre,1,0,1,No,9323.0,0.0,75.0,180.0,1,Urbana,1,Pablo
35,02/27/2019 07:59 AM,02/28/2019 12:10 PM,LP001768,Hombre,1,0,1,,3716.0,0.0,42.0,180.0,1,Rural,1,Dudley
36,02/28/2019 07:46 AM,03/01/2019 03:21 PM,LP002833,Hombre,1,0,0,No,4467.0,0.0,120.0,360.0,1,Rural,1,Pablo
37,02/28/2019 11:10 AM,03/01/2019 04:50 PM,LP001431,Mujer,0,0,1,No,2137.0,8980.0,137.0,360.0,0,Semiurbana,1,Santiago
38,02/28/2019 08:24 AM,03/01/2019 06:27 PM,LP002917,Mujer,0,0,0,No,2165.0,0.0,70.0,360.0,1,Semiurbana,1,Ana
39,02/26/2019 08:41 AM,02/27/2019 06:09 PM,LP002112,Hombre,1,2,1,Si,2500.0,4600.0,176.0,360.0,1,Rural,1,Regina
40,02/27/2019 08:47 AM,02/28/2019 01:37 PM,LP002141,Hombre,1,4,1,No,2666.0,2083.0,95.0,360.0,1,Rural,1,Regina
41,02/26/2019 07:59 AM,02/27/2019 04:02 PM,LP001751,Hombre,1,0,1,No,3250.0,0.0,170.0,360.0,1,Rural,0,
42,02/26/2019 08:50 AM,02/27/2019 03:47 PM,LP001888,Mujer,0,0,1,No,3237.0,0.0,30.0,360.0,1,Urbana,1,Santiago
43,02/27/2019 07:46 AM,02/28/2019 04:52 PM,LP002841,Hombre,1,0,1,No,3166.0,2064.0,104.0,360.0,0,Urbana,0,
44,02/28/2019 07:50 AM,03/01/2019 05:47 PM,LP002455,Hombre,1,2,1,No,3859.0,0.0,96.0,360.0,1,Semiurbana,1,Regina
45,02/28/2019 10:18 AM,03/01/2019 03:18 PM,LP002821,Hombre,0,0,0,Si,5800.0,0.0,132.0,360.0,1,Semiurbana,1,Ana
46,02/26/2019 07:14 AM,02/27/2019 05:13 PM,LP001734,Mujer,1,2,1,No,4283.0,2383.0,127.0,360.0,1,Semiurbana,1,Dudley
47,02/26/2019 10:10 AM,02/27/2019 05:07 PM,LP001144,Hombre,1,0,1,No,5821.0,0.0,144.0,360.0,1,Urbana,1,Ana
48,02/28/2019 07:43 AM,03/01/2019 01:30 PM,LP001392,Mujer,0,1,1,Si,7451.0,0.0,,360.0,1,Semiurbana,1,Ana
49,02/28/2019 11:00 AM,03/01/2019 12:25 PM,LP002175,Hombre,1,0,1,No,4750.0,2333.0,130.0,360.0,1,Urbana,1,Ana
50,02/28/2019 09:33 AM,03/01/2019 12:41 PM,LP002369,Hombre,1,0,1,No,2920.0,16.12000084,87.0,360.0,1,Rural,1,Regina
51,02/28/2019 09:11 AM,03/01/2019 04:37 PM,LP002941,Hombre,1,2,0,Si,6383.0,1000.0,187.0,360.0,1,Rural,0,
52,02/26/2019 07:43 AM,02/27/2019 06:06 PM,LP002205,Hombre,0,1,1,No,3062.0,1987.0,111.0,180.0,0,Urbana,0,
53,02/28/2019 10:38 AM,03/01/2019 02:20 PM,LP002243,Hombre,1,0,0,No,3010.0,3136.0,,360.0,0,Urbana,0,
54,02/27/2019 11:03 AM,02/28/2019 01:18 PM,LP002170,Hombre,1,2,1,No,5000.0,3667.0,236.0,360.0,1,Semiurbana,1,Ana
55,02/26/2019 10:22 AM,02/27/2019 03:45 PM,LP002065,Hombre,1,4,1,No,15000.0,0.0,300.0,360.0,1,Rural,1,Regina
56,02/28/2019 09:26 AM,03/01/2019 01:33 PM,LP001013,Hombre,1,0,0,No,2333.0,1516.0,95.0,360.0,1,Urbana,1,Ana
57,02/26/2019 10:58 AM,02/27/2019 06:29 PM,LP001401,Hombre,1,1,1,No,14583.0,0.0,185.0,180.0,1,Rural,1,Ana
58,02/27/2019 08:59 AM,02/28/2019 01:52 PM,LP001387,Mujer,1,0,1,,2929.0,2333.0,139.0,360.0,1,Semiurbana,1,Dudley
59,02/27/2019 09:17 AM,02/28/2019 06:30 PM,LP001811,Hombre,1,0,0,No,3406.0,4417.0,123.0,360.0,1,Semiurbana,1,Pablo
60,02/27/2019 08:53 AM,02/28/2019 02:20 PM,LP001005,Hombre,1,0,1,Si,3000.0,0.0,66.0,360.0,1,Urbana,1,Dudley
61,02/27/2019 07:35 AM,02/28/2019 03:36 PM,LP002961,Hombre,1,1,1,No,3400.0,2500.0,173.0,360.0,1,Semiurbana,1,Dudley
62,02/26/2019 07:10 AM,02/27/2019 12:01 PM,LP001465,Hombre,1,0,1,No,6080.0,2569.0,182.0,360.0,1,Rural,0,
63,02/27/2019 09:08 AM,02/28/2019 01:45 PM,LP002160,Hombre,1,4,1,No,5167.0,3167.0,200.0,360.0,1,Semiurbana,1,Santiago
64,02/26/2019 07:20 AM,02/27/2019 02:01 PM,LP001633,Hombre,1,1,1,No,6400.0,7250.0,180.0,360.0,0,Urbana,0,
65,02/27/2019 10:23 AM,02/28/2019 12:33 PM,LP001846,Mujer,0,4,1,No,3083.0,0.0,255.0,360.0,1,Rural,1,Regina
66,02/27/2019 10:40 AM,02/28/2019 04:04 PM,LP001892,Hombre,0,0,1,No,2833.0,1857.0,126.0,360.0,1,Rural,1,Ana
67,02/26/2019 10:30 AM,02/27/2019 06:13 PM,LP001673,Hombre,0,0,1,Si,11000.0,0.0,83.0,360.0,1,Urbana,0,
68,02/28/2019 11:24 AM,03/01/2019 05:18 PM,LP001002,Hombre,0,0,1,No,5849.0,0.0,,360.0,1,Urbana,1,Regina
69,02/28/2019 08:10 AM,03/01/2019 03:24 PM,LP002938,Hombre,1,0,1,Si,16120.0,0.0,260.0,360.0,1,Urbana,1,Dudley
70,02/28/2019 07:48 AM,03/01/2019 06:34 PM,LP001807,Hombre,1,2,1,Si,6250.0,1300.0,108.0,360.0,1,Rural,1,Pablo
71,02/27/2019 10:47 AM,02/28/2019 12:09 PM,LP002370,Hombre,0,0,0,No,2717.0,0.0,60.0,180.0,1,Urbana,1,Ana
72,02/27/2019 11:10 AM,02/28/2019 04:01 PM,LP002097,Hombre,0,1,1,No,4384.0,1793.0,117.0,360.0,1,Urbana,1,Dudley
73,02/26/2019 09:28 AM,02/27/2019 12:28 PM,LP002103,,1,1,1,Si,9833.0,1833.0,182.0,180.0,1,Urbana,1,Pablo
74,02/28/2019 11:09 AM,03/01/2019 04:57 PM,LP001508,Hombre,1,2,1,No,11757.0,0.0,187.0,180.0,1,Urbana,1,Ana
75,02/28/2019 10:37 AM,03/01/2019 12:21 PM,LP001333,Hombre,1,0,1,No,1977.0,997.0,50.0,360.0,1,Semiurbana,1,Santiago
76,02/27/2019 07:44 AM,02/28/2019 05:49 PM,LP002144,Mujer,0,0,1,No,3813.0,0.0,116.0,180.0,1,Urbana,1,Ana
77,02/28/2019 08:13 AM,03/01/2019 04:10 PM,LP002877,Hombre,1,1,1,No,1782.0,2232.0,107.0,360.0,1,Rural,1,Pablo
78,02/27/2019 09:00 AM,02/28/2019 01:36 PM,LP001222,Mujer,0,0,1,No,4166.0,0.0,116.0,360.0,0,Semiurbana,0,
79,02/28/2019 07:42 AM,03/01/2019 01:00 PM,LP002201,Hombre,1,2,1,Si,9323.0,7873.0,380.0,300.0,1,Rural,1,Ana
80,02/27/2019 10:23 AM,02/28/2019 04:05 PM,LP002424,Hombre,1,0,1,No,7333.0,8333.0,175.0,300.0,1,Rural,1,Ana
81,02/27/2019 09:29 AM,02/28/2019 12:46 PM,LP001138,Hombre,1,1,1,No,5649.0,0.0,44.0,360.0,1,Urbana,1,Pablo
82,02/26/2019 09:28 AM,02/27/2019 01:34 PM,LP001658,Hombre,0,0,1,No,3858.0,0.0,76.0,360.0,1,Semiurbana,1,Santiago
83,02/28/2019 09:35 AM,03/01/2019 02:05 PM,LP001197,Hombre,1,0,1,No,3366.0,2200.0,135.0,360.0,1,Rural,0,
84,02/28/2019 08:51 AM,03/01/2019 05:53 PM,LP002842,Hombre,1,1,1,No,3417.0,1750.0,186.0,360.0,1,Urbana,1,Dudley
85,02/26/2019 11:15 AM,02/27/2019 01:36 PM,LP001698,Hombre,0,0,0,No,3975.0,2531.0,55.0,360.0,1,Rural,1,Santiago
86,02/27/2019 11:25 AM,02/28/2019 04:20 PM,LP002364,Hombre,1,0,1,No,14880.0,0.0,96.0,360.0,1,Semiurbana,1,Ana
87,02/26/2019 10:12 AM,02/27/2019 01:51 PM,LP001207,Hombre,1,0,0,Si,2609.0,3449.0,165.0,180.0,0,Rural,0,
88,02/26/2019 07:49 AM,02/27/2019 01:04 PM,LP001266,Hombre,1,1,1,Si,2395.0,0.0,,360.0,1,Semiurbana,1,Dudley
89,02/26/2019 07:56 AM,02/27/2019 01:47 PM,LP001426,Hombre,1,0,1,No,5667.0,2667.0,180.0,360.0,1,Rural,1,Pablo
90,02/27/2019 08:54 AM,02/28/2019 06:42 PM,LP001669,Mujer,0,0,0,No,1907.0,2365.0,120.0,,1,Urbana,1,Santiago
91,02/27/2019 08:08 AM,02/28/2019 12:41 PM,LP002603,Mujer,0,0,1,No,645.0,3683.0,113.0,480.0,1,Rural,1,Ana
92,02/28/2019 10:38 AM,03/01/2019 01:50 PM,LP001546,Hombre,0,0,1,,2980.0,2083.0,120.0,360.0,1,Rural,1,Ana
93,02/28/2019 08:42 AM,03/01/2019 12:24 PM,LP002054,Hombre,1,2,0,No,3601.0,1590.0,,360.0,1,Rural,1,Santiago
